category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty
Faith,Old Testament,Who built the ark?,Moses,Noah,David,Abraham,B,Noah built the ark as recorded in Genesis 6.,Easy
Faith,Old Testament,Who led the Israelites out of Egypt?,Joseph,Moses,Aaron,Joshua,B,Moses led the Israelites out of Egypt in the Exodus story.,Easy
Faith,Old Testament,Who was thrown into the lions' den?,Daniel,Elijah,Isaiah,Samuel,A,Daniel was thrown into the lions' den but God protected him.,Easy
Faith,Old Testament,Who defeated Goliath?,Saul,Jonathan,David,Solomon,C,David defeated Goliath with a sling and stone.,Easy
Faith,Old Testament,What is the first book of the Bible?,Genesis,Exodus,Psalms,Matthew,A,Genesis is the first book of the Bible.,Easy
Faith,Old Testament,Who was sold by his brothers and later rose to power in Egypt?,Joseph,Benjamin,Isaac,Jacob,A,Joseph was sold by his brothers and became a leader in Egypt.,Easy
Faith,Old Testament,Who built a very large temple in Jerusalem?,David,Solomon,Samuel,Ezra,B,Solomon built the first temple in Jerusalem.,Easy
Faith,Old Testament,Who was swallowed by a great fish?,Jonah,Micah,Joel,Amos,A,Jonah was swallowed by a great fish after fleeing God's call.,Easy
Faith,Old Testament,Who interpreted dreams for Pharaoh?,Moses,Joseph,Aaron,Elijah,B,Joseph interpreted Pharaoh's dreams in Genesis 41.,Easy
Faith,Old Testament,What sea parted for the Israelites?,Dead Sea,Sea of Galilee,Red Sea,Mediterranean Sea,C,God parted the Red Sea for the Israelites to cross.,Easy
Faith,Old Testament,Who was Abraham's wife?,Rachel,Sarah,Rebekah,Miriam,B,Sarah was Abraham's wife.,Easy
Faith,Old Testament,Who was Isaac's father?,Jacob,Moses,Abraham,Joseph,C,Abraham was the father of Isaac.,Easy
Faith,Old Testament,What did God create on the first day?,Animals,Sun and moon,Light,Humans,C,"According to Genesis 1, God created light on the first day.",Easy
Faith,Old Testament,Who received the Ten Commandments?,Joshua,Aaron,Moses,David,C,Moses received the Ten Commandments on Mount Sinai.,Easy
Faith,Old Testament,Which young woman became queen and saved her people?,Ruth,Esther,Deborah,Hannah,B,Esther became queen and courageously saved her people.,Easy
Faith,Old Testament,Who was known for great strength and long hair?,Samson,Saul,Isaac,Job,A,"Samson was known for his strength, which was tied to his hair.",Easy
